                                                              REPORTE DE PEDIDOS
==========================================================================================================================================================================
Codigo Pedido       DNI Cliente         Subtotal            Fecha               Estado              Total               Prioridad           Recargo/Estado/Dias en espera
OBI-353             79901434            19.97               29/12/2023          Inactivo            21.967              Prioridad Alta      10                  
AWB-345             16552775            26.73               28/12/2023          Inactivo            26.73               Prioridad Media     Inactivo            
CSZ-863             57690875            23.8                01/11/2023          Inactivo            25.466              Prioridad Alta      7                   
UWA-476             73535476            18.24               07/11/2023          Inactivo            19.5168             Prioridad Alta      7                   
MLE-193             87813843            25.13               28/11/2023          Inactivo            25.13               Prioridad Baja      4                   
UOD-420             95751208            60.44               08/12/2023          Inactivo            60.44               Prioridad Baja      5                   
KWP-672             87800799            51.7                16/12/2023          Inactivo            51.7                Prioridad Baja      3                   
BXY-119             20864087            83.53               31/11/2023          Activo              83.53               Prioridad Media     Activo              
KCO-488             46462527            62.23               10/12/2023          Inactivo            62.23               Prioridad Baja      4                   
PQH-935             71984468            20.77               28/12/2023          Inactivo            20.77               Prioridad Baja      4                   
GBJ-693             15561764            20.15               29/12/2023          Inactivo            22.165              Prioridad Alta      10                  
XLF-273             43488351            83.48               12/12/2023          Inactivo            83.48               Prioridad Baja      3                   
RSE-049             15210391            89.89               30/11/2023          Inactivo            89.89               Prioridad Baja      5                   
CJE-310             79464412            36.3                28/12/2023          Inactivo            39.93               Prioridad Alta      10                  
SJQ-827             76388967            81.96               21/11/2023          Inactivo            81.96               Prioridad Baja      3                   
TKM-141             89148118            43.58               08/11/2023          Inactivo            43.58               Prioridad Baja      5                   
EBI-299             76388967            72.17               07/12/2023          Inactivo            79.387              Prioridad Alta      10                  
DFF-034             79140840            87.73               02/11/2023          Inactivo            87.73               Prioridad Baja      5                   
SSD-176             37110873            68.32               10/12/2023          Activo              68.32               Prioridad Media     Activo              
ZEX-027             43043986            83.86               01/12/2023          Inactivo            83.86               Prioridad Baja      3                   
OBI-353             73914283            14.6                16/11/2023          Activo              14.6                Prioridad Media     Activo              
SJD-818             41036366            67.67               05/12/2023          Inactivo            67.67               Prioridad Media     Inactivo            
GLC-370             28390487            60.6                25/11/2023          Activo              60.6                Prioridad Media     Activo              
YUQ-590             45783712            26.62               23/11/2023          Inactivo            26.62               Prioridad Baja      4                   
QHC-492             29337157            90.37               06/12/2023          Inactivo            90.37               Prioridad Baja      4                   
CIM-038             35565959            75.01               05/12/2023          Inactivo            82.511              Prioridad Alta      10                  
CRU-009             96258632            81.64               04/12/2023          Inactivo            81.64               Prioridad Baja      4                   
AHB-459             12663268            21.28               14/11/2023          Inactivo            21.28               Prioridad Baja      3                   
MQR-442             86828079            99.66               25/11/2023          Inactivo            106.636             Prioridad Alta      7                   
CNN-411             16552775            31.19               25/12/2023          Inactivo            32.7495             Prioridad Alta      5                   
AFL-718             50365593            23.65               11/12/2023          Inactivo            24.8325             Prioridad Alta      5                   
CIM-038             11602775            89.71               30/12/2023          Inactivo            95.9897             Prioridad Alta      7                   
XZR-640             78078115            89.72               12/11/2023          Inactivo            89.72               Prioridad Media     Inactivo            
LDR-510             62324793            51.85               21/12/2023          Inactivo            57.035              Prioridad Alta      10                  
QUU-384             37110873            28.27               16/11/2023          Inactivo            28.27               Prioridad Baja      5                   
OWN-701             36380447            91.67               07/11/2023          Inactivo            96.2535             Prioridad Alta      5                   
BTO-226             77484838            48.31               28/12/2023          Inactivo            48.31               Prioridad Baja      3                   
BRD-969             98140264            46.86               29/12/2023          Inactivo            46.86               Prioridad Media     Inactivo            
ZEX-027             29337157            28.77               19/12/2023          Inactivo            31.647              Prioridad Alta      10                  
DFJ-952             84165595            34.62               08/12/2023          Activo              34.62               Prioridad Media     Activo              
RDT-761             84165595            28.77               22/12/2023          Inactivo            28.77               Prioridad Baja      3                   
TMN-884             88956889            93.51               17/12/2023          Inactivo            93.51               Prioridad Baja      3                   
FEG-454             59162728            93.3                05/12/2023          Inactivo            93.3                Prioridad Baja      3                   
JDC-028             50365593            24.16               02/11/2023          Inactivo            24.16               Prioridad Media     Inactivo            
JCW-489             69324480            90.42               10/12/2023          Inactivo            90.42               Prioridad Media     Inactivo            
KWP-672             46462527            82.76               04/11/2023          Inactivo            82.76               Prioridad Baja      3                   
VDD-853             49087435            42.82               07/11/2023          Inactivo            42.82               Prioridad Baja      4                   
ZEX-027             79901434            11.55               14/11/2023          Activo              11.55               Prioridad Media     Activo              
ZVA-180             33713901            54.2                03/12/2023          Activo              54.2                Prioridad Media     Activo              
KQA-580             50375303            35.79               01/11/2023          Inactivo            37.5795             Prioridad Alta      5                   
QUU-384             77642521            67.54               23/12/2023          Inactivo            72.2678             Prioridad Alta      7                   
TKM-141             78922174            42.41               15/11/2023          Activo              42.41               Prioridad Media     Activo              
NMV-644             94080926            29.67               04/12/2023          Inactivo            29.67               Prioridad Media     Inactivo            
CIM-038             93845419            78.91               14/12/2023          Inactivo            84.4337             Prioridad Alta      7                   
TYF-885             62566305            50.44               29/12/2023          Inactivo            52.962              Prioridad Alta      5                   
OQI-373             86402303            56.46               22/12/2023          Inactivo            56.46               Prioridad Media     Inactivo            
AHB-459             79901434            96.3                15/11/2023          Activo              96.3                Prioridad Media     Activo              
IDO-503             32565207            77.9                04/12/2023          Inactivo            77.9                Prioridad Media     Inactivo            
BCK-361             49087435            47.48               18/11/2023          Inactivo            47.48               Prioridad Baja      5                   
TYF-885             83505958            11.6                18/11/2023          Inactivo            11.6                Prioridad Baja      3                   
OPT-996             25171011            58.82               09/11/2023          Inactivo            62.9374             Prioridad Alta      7                   
VVS-017             45877001            39.17               11/11/2023          Inactivo            43.087              Prioridad Alta      10                  
QUU-384             67418025            49.63               16/12/2023          Inactivo            49.63               Prioridad Baja      3                   
YOT-530             43053402            86.72               21/12/2023          Inactivo            92.7904             Prioridad Alta      7                   
ISU-815             52097922            13.61               29/11/2023          Inactivo            13.61               Prioridad Baja      5                   
III-576             63437380            73.89               02/12/2023          Inactivo            77.5845             Prioridad Alta      5                   
LWG-915             50365593            53.32               19/12/2023          Inactivo            53.32               Prioridad Baja      3                   
BWD-036             57263719            17.04               18/12/2023          Inactivo            18.744              Prioridad Alta      10                  
AFL-718             78922174            10.98               22/11/2023          Inactivo            12.078              Prioridad Alta      10                  
AWB-345             63437380            13.01               04/11/2023          Inactivo            13.9207             Prioridad Alta      7                   
YYU-726             12663268            72.1                20/12/2023          Inactivo            77.147              Prioridad Alta      7                   
JJN-837             11602775            12.24               30/11/2023          Inactivo            12.24               Prioridad Baja      5                   
ZWF-661             17972674            25.67               15/12/2023          Inactivo            27.4669             Prioridad Alta      7                   
EJW-346             83505958            55.69               13/11/2023          Inactivo            55.69               Prioridad Media     Inactivo            
BWD-036             79475585            64.46               14/11/2023          Inactivo            64.46               Prioridad Media     Inactivo            
UWA-476             17972674            62.79               05/12/2023          Inactivo            62.79               Prioridad Media     Inactivo            
XLF-273             89148118            36.61               01/12/2023          Inactivo            36.61               Prioridad Baja      5                   
UXG-019             32565207            91                  04/12/2023          Activo              91                  Prioridad Media     Activo              
NSM-283             79464412            29.41               27/11/2023          Activo              29.41               Prioridad Media     Activo              
VJI-529             95161027            91.93               06/11/2023          Activo              91.93               Prioridad Media     Activo              
TYF-885             79140840            24.99               19/12/2023          Inactivo            24.99               Prioridad Baja      3                   
YZD-580             37110873            52.8                30/12/2023          Inactivo            55.44               Prioridad Alta      5                   
XLF-273             11602775            14.47               12/12/2023          Inactivo            15.4829             Prioridad Alta      7                   
TZY-323             15210391            21.48               27/12/2023          Activo              21.48               Prioridad Media     Activo              
LWG-915             27912250            48.97               23/11/2023          Inactivo            48.97               Prioridad Media     Inactivo            
TMN-884             91897732            20.84               07/11/2023          Inactivo            20.84               Prioridad Media     Inactivo            
QHC-492             98140264            17.78               27/12/2023          Activo              17.78               Prioridad Media     Activo              
UJV-290             83236386            67.6                10/11/2023          Inactivo            67.6                Prioridad Baja      3                   
OWN-701             52097922            72.2                10/11/2023          Inactivo            72.2                Prioridad Baja      3                   
WZD-331             40348917            86.86               17/12/2023          Inactivo            86.86               Prioridad Baja      5                   
BIT-434             71378466            29.75               02/12/2023          Inactivo            32.725              Prioridad Alta      10                  
AWT-354             71463316            88.53               20/12/2023          Activo              88.53               Prioridad Media     Activo              
III-576             95161027            72.98               05/12/2023          Inactivo            76.629              Prioridad Alta      5                   
KCO-488             71463316            52.94               04/12/2023          Inactivo            52.94               Prioridad Baja      3                   
KCO-488             24995742            27.44               18/12/2023          Inactivo            28.812              Prioridad Alta      5                   
JFC-432             20864087            40.15               16/12/2023          Inactivo            42.9605             Prioridad Alta      7                   
YOT-530             31611146            80.54               03/12/2023          Activo              80.54               Prioridad Media     Activo              
JFC-432             85949265            71.13               11/12/2023          Inactivo            78.243              Prioridad Alta      10                  
DFJ-952             77642521            49.06               05/11/2023          Inactivo            49.06               Prioridad Media     Inactivo            
QHC-492             53166028            36.97               23/12/2023          Inactivo            36.97               Prioridad Media     Inactivo            
PFD-286             90237332            55.07               17/12/2023          Inactivo            55.07               Prioridad Media     Inactivo            
MQR-442             83505958            57.06               05/12/2023          Inactivo            61.0542             Prioridad Alta      7                   
JYQ-045             15561764            94.58               23/11/2023          Inactivo            101.201             Prioridad Alta      7                   
AFL-718             50375303            45.08               20/12/2023          Inactivo            45.08               Prioridad Baja      4                   
AFL-718             77484838            48.54               26/12/2023          Inactivo            53.394              Prioridad Alta      10                  
BCK-361             97403853            87.91               08/11/2023          Inactivo            87.91               Prioridad Baja      4                   
XSD-310             12663268            53.05               16/11/2023          Inactivo            58.355              Prioridad Alta      10                  
TXM-139             19829266            91.27               31/11/2023          Activo              91.27               Prioridad Media     Activo              
KQA-580             63437380            54.01               19/12/2023          Inactivo            54.01               Prioridad Media     Inactivo            
RAH-420             12663268            94.35               06/11/2023          Inactivo            94.35               Prioridad Baja      3                   
PFD-286             89298238            66.57               31/11/2023          Activo              66.57               Prioridad Media     Activo              
NSM-283             42928709            77.3                03/11/2023          Inactivo            81.165              Prioridad Alta      5                   
PJG-338             45877001            62.19               03/12/2023          Inactivo            62.19               Prioridad Baja      4                   
OQI-373             42928709            99.23               02/11/2023          Activo              99.23               Prioridad Media     Activo              
ONB-903             32821689            85.99               03/11/2023          Inactivo            90.2895             Prioridad Alta      5                   
FVQ-662             71378466            51.07               24/11/2023          Inactivo            51.07               Prioridad Baja      3                   
YYK-309             11602775            45.35               24/11/2023          Inactivo            47.6175             Prioridad Alta      5                   
UDR-957             77484838            71.08               19/12/2023          Inactivo            76.0556             Prioridad Alta      7                   
FYF-898             15561764            63.64               20/11/2023          Inactivo            63.64               Prioridad Media     Inactivo            
CIM-038             57690875            87.28               04/11/2023          Activo              87.28               Prioridad Media     Activo              
SPR-580             54716824            30.34               22/12/2023          Inactivo            33.374              Prioridad Alta      10                  
VVS-017             95161027            58.54               29/12/2023          Inactivo            58.54               Prioridad Media     Inactivo            
KWP-672             90365520            83.81               08/12/2023          Inactivo            83.81               Prioridad Baja      4                   
QHC-492             73185299            68.42               02/12/2023          Inactivo            73.2094             Prioridad Alta      7                   
QFR-958             45783712            34.39               02/11/2023          Inactivo            34.39               Prioridad Baja      3                   
SJQ-827             49087435            83.49               21/12/2023          Inactivo            83.49               Prioridad Media     Inactivo            
DEV-433             54761731            42.7                03/12/2023          Inactivo            42.7                Prioridad Baja      4                   
MMA-577             43053402            33.29               17/11/2023          Inactivo            34.9545             Prioridad Alta      5                   
ZXK-295             78757121            39.68               22/12/2023          Activo              39.68               Prioridad Media     Activo              
VXS-438             13245501            63.96               19/12/2023          Inactivo            63.96               Prioridad Baja      5                   
LWG-915             46462527            85.7                14/11/2023          Inactivo            94.27               Prioridad Alta      10                  
YUQ-590             88956889            24.39               30/12/2023          Inactivo            24.39               Prioridad Media     Inactivo            
AQS-362             55552996            25.3                15/11/2023          Inactivo            25.3                Prioridad Baja      4                   
RSE-049             76388967            25.1                05/12/2023          Activo              25.1                Prioridad Media     Activo              
III-576             60574154            41.39               28/11/2023          Inactivo            44.2873             Prioridad Alta      7                   
UXG-019             55552996            97.07               24/12/2023          Inactivo            103.865             Prioridad Alta      7                   
VRR-793             87800799            77.98               20/12/2023          Inactivo            77.98               Prioridad Media     Inactivo            
EJW-346             78922174            35.76               11/12/2023          Activo              35.76               Prioridad Media     Activo              
BCK-361             80048864            78.35               20/11/2023          Activo              78.35               Prioridad Media     Activo              
AWB-345             25171011            53.65               28/12/2023          Activo              53.65               Prioridad Media     Activo              
FCN-617             22777006            46.4                13/11/2023          Activo              46.4                Prioridad Media     Activo              
AQS-362             42798099            20.68               25/12/2023          Activo              20.68               Prioridad Media     Activo              
QFP-254             90237332            93.12               10/12/2023          Inactivo            93.12               Prioridad Media     Inactivo            
DIQ-718             62566305            22.49               21/11/2023          Inactivo            24.0643             Prioridad Alta      7                   
BIT-434             59407188            57.09               18/11/2023          Inactivo            59.9445             Prioridad Alta      5                   
TMN-884             42798099            43.48               10/12/2023          Activo              43.48               Prioridad Media     Activo              
OXP-732             79901434            95.01               05/11/2023          Inactivo            95.01               Prioridad Baja      5                   
SNY-500             40348917            17.89               26/12/2023          Inactivo            19.1423             Prioridad Alta      7                   
QUU-384             73185299            94.2                29/12/2023          Inactivo            94.2                Prioridad Media     Inactivo            
MTF-868             83236386            33.53               13/12/2023          Inactivo            33.53               Prioridad Baja      3                   
VXS-438             89429489            86.19               01/12/2023          Inactivo            92.2233             Prioridad Alta      7                   
VTV-269             26976877            69.59               24/11/2023          Inactivo            74.4613             Prioridad Alta      7                   
IHG-413             17913944            99.18               09/11/2023          Inactivo            99.18               Prioridad Baja      5                   
SNY-500             43877279            90.63               12/11/2023          Inactivo            90.63               Prioridad Baja      5                   
GXF-122             37110873            43.62               06/12/2023          Inactivo            43.62               Prioridad Baja      3                   
BCN-855             38913831            71.56               11/12/2023          Inactivo            71.56               Prioridad Baja      5                   
JXD-139             44229880            61.07               25/11/2023          Inactivo            61.07               Prioridad Baja      5                   
FVQ-662             32565207            75.09               01/12/2023          Inactivo            75.09               Prioridad Baja      4                   
DUG-251             32904023            42.68               22/12/2023          Inactivo            42.68               Prioridad Media     Inactivo            
QJO-060             45828535            68.61               21/12/2023          Inactivo            68.61               Prioridad Media     Inactivo            
YMU-875             24995742            82.85               08/11/2023          Activo              82.85               Prioridad Media     Activo              
VRR-793             81114108            77.11               13/12/2023          Inactivo            84.821              Prioridad Alta      10                  
TYF-885             26290971            21.03               04/11/2023          Inactivo            21.03               Prioridad Baja      4                   
ADX-669             96659352            75.98               18/12/2023          Activo              75.98               Prioridad Media     Activo              
CJE-310             98140264            94.33               10/11/2023          Inactivo            94.33               Prioridad Media     Inactivo            
AFL-718             26976877            38.55               31/12/2023          Inactivo            38.55               Prioridad Media     Inactivo            
EBI-299             71463316            55.32               19/11/2023          Inactivo            55.32               Prioridad Baja      5                   
AFL-718             89148118            11.25               12/11/2023          Inactivo            12.375              Prioridad Alta      10                  
OPT-996             83236386            77.62               11/12/2023          Inactivo            83.0534             Prioridad Alta      7                   
PVZ-181             90237332            52.49               05/11/2023          Inactivo            56.1643             Prioridad Alta      7                   
WZD-331             16151792            92.59               26/11/2023          Inactivo            101.849             Prioridad Alta      10                  
RDT-761             80048864            50.3                29/12/2023          Inactivo            50.3                Prioridad Baja      5                   
TXM-139             94080926            56.58               15/11/2023          Inactivo            60.5406             Prioridad Alta      7                   
KSO-608             40112594            90.47               16/11/2023          Inactivo            90.47               Prioridad Baja      5                   
CIM-038             73535476            42.85               07/11/2023          Inactivo            42.85               Prioridad Media     Inactivo            
FLJ-040             40348917            59                  08/11/2023          Inactivo            59                  Prioridad Baja      4                   
HFM-021             88956889            78.24               24/12/2023          Inactivo            78.24               Prioridad Baja      3                   
AQS-362             41036366            85.21               03/12/2023          Inactivo            85.21               Prioridad Media     Inactivo            
TYF-885             43877279            69.21               22/12/2023          Inactivo            74.0547             Prioridad Alta      7                   
OQI-373             42798099            90.13               16/12/2023          Inactivo            90.13               Prioridad Baja      4                   
QVJ-982             77191257            19.87               13/11/2023          Inactivo            19.87               Prioridad Baja      4                   
VRR-793             98589725            57.11               21/11/2023          Inactivo            62.821              Prioridad Alta      10                  
CIM-038             25171011            47.3                03/12/2023          Inactivo            47.3                Prioridad Media     Inactivo            
JDQ-505             20864087            30.59               17/11/2023          Inactivo            32.1195             Prioridad Alta      5                   
III-576             42157219            82.58               23/11/2023          Inactivo            82.58               Prioridad Baja      5                   
JXD-139             79464412            85.78               04/12/2023          Inactivo            85.78               Prioridad Media     Inactivo            
QRC-609             25171011            16.14               17/12/2023          Inactivo            16.14               Prioridad Media     Inactivo            
QTK-083             89298238            97.55               29/11/2023          Inactivo            97.55               Prioridad Baja      3                   
BCN-855             81114108            58.9                10/12/2023          Inactivo            58.9                Prioridad Baja      3                   
QFP-254             89298238            44.54               01/11/2023          Inactivo            44.54               Prioridad Baja      5                   
DFF-034             66409237            18.56               17/11/2023          Activo              18.56               Prioridad Media     Activo              
GBD-525             52097922            73.4                18/12/2023          Inactivo            77.07               Prioridad Alta      5                   
JFC-432             89148118            49.36               24/11/2023          Inactivo            49.36               Prioridad Baja      4                   
FLJ-040             38637282            34.15               01/12/2023          Inactivo            34.15               Prioridad Baja      5                   
TMN-884             23928045            90.46               09/11/2023          Inactivo            90.46               Prioridad Baja      4                   
AWB-345             44679500            48.26               25/11/2023          Inactivo            48.26               Prioridad Media     Inactivo            
CNQ-172             16151792            60.48               18/11/2023          Inactivo            60.48               Prioridad Baja      3                   
UWA-476             37110873            54.1                22/12/2023          Inactivo            54.1                Prioridad Media     Inactivo            
JDQ-505             48467976            34.61               08/11/2023          Inactivo            34.61               Prioridad Media     Inactivo            
XSD-310             22280452            16.08               24/12/2023          Inactivo            16.08               Prioridad Media     Inactivo            
BCK-361             29847168            14.51               05/11/2023          Inactivo            14.51               Prioridad Media     Inactivo            
XSD-310             45828535            94.31               22/12/2023          Activo              94.31               Prioridad Media     Activo              
AVM-258             35584593            36.67               26/12/2023          Inactivo            39.2369             Prioridad Alta      7                   
QHC-492             96258632            14.53               16/12/2023          Inactivo            14.53               Prioridad Media     Inactivo            
SJD-818             55552996            19.63               04/11/2023          Inactivo            19.63               Prioridad Media     Inactivo            
FQG-293             55552996            67.31               01/11/2023          Inactivo            74.041              Prioridad Alta      10                  
MYC-756             85871751            37.98               15/12/2023          Inactivo            37.98               Prioridad Baja      4                   
QFP-254             43043986            52                  29/11/2023          Inactivo            52                  Prioridad Baja      5                   
AVM-258             45828535            37.55               14/12/2023          Inactivo            39.4275             Prioridad Alta      5                   
UWA-476             71463316            31.23               26/11/2023          Activo              31.23               Prioridad Media     Activo              
ARS-231             71378466            42.35               09/11/2023          Inactivo            42.35               Prioridad Baja      5                   
KQQ-136             79475585            84.75               12/12/2023          Inactivo            84.75               Prioridad Media     Inactivo            
AWT-354             66409237            54.64               27/12/2023          Inactivo            60.104              Prioridad Alta      10                  
WZD-331             69975105            26.91               26/12/2023          Inactivo            26.91               Prioridad Baja      3                   
XLF-273             42928709            81.67               10/11/2023          Inactivo            81.67               Prioridad Baja      5                   
UWA-476             88956889            25.85               27/11/2023          Inactivo            25.85               Prioridad Baja      3                   
MMA-577             32821689            31.58               21/11/2023          Activo              31.58               Prioridad Media     Activo              
TMJ-043             85949265            68.18               03/11/2023          Inactivo            72.9526             Prioridad Alta      7                   
DFF-034             78078115            88.21               09/11/2023          Activo              88.21               Prioridad Media     Activo              
KJX-387             32904023            73.23               11/11/2023          Inactivo            73.23               Prioridad Baja      3                   
KBY-991             90365520            26.13               23/12/2023          Activo              26.13               Prioridad Media     Activo              
XZR-640             91897732            63.03               02/12/2023          Inactivo            67.4421             Prioridad Alta      7                   
KQA-580             96659352            30.08               27/11/2023          Activo              30.08               Prioridad Media     Activo              
JXD-139             26976877            18.05               30/11/2023          Inactivo            18.05               Prioridad Media     Inactivo            
KCO-488             42157219            93.36               27/12/2023          Activo              93.36               Prioridad Media     Activo              
UOD-420             69324480            34.71               11/12/2023          Inactivo            34.71               Prioridad Baja      3                   
BRD-969             66409237            79.5                08/11/2023          Activo              79.5                Prioridad Media     Activo              
QFP-254             71463316            16.09               28/11/2023          Inactivo            16.09               Prioridad Baja      4                   
VRR-793             22280452            17.79               16/12/2023          Inactivo            17.79               Prioridad Baja      3                   
HLR-109             79140840            76.17               01/11/2023          Inactivo            76.17               Prioridad Baja      5                   
LDR-510             73535476            23.26               16/11/2023          Inactivo            23.26               Prioridad Media     Inactivo            
YYU-726             93160528            84.29               21/11/2023          Activo              84.29               Prioridad Media     Activo              
OWN-701             59407188            82.2                30/11/2023          Inactivo            82.2                Prioridad Baja      5                   
ZAF-449             26233063            68.12               09/12/2023          Inactivo            72.8884             Prioridad Alta      7                   
ISU-815             46462527            98.22               11/12/2023          Inactivo            98.22               Prioridad Media     Inactivo            
WZD-331             87800799            41.79               22/11/2023          Activo              41.79               Prioridad Media     Activo              
OQI-373             90237332            78.75               29/12/2023          Inactivo            78.75               Prioridad Baja      4                   
BCN-855             71463316            61.03               08/12/2023          Inactivo            67.133              Prioridad Alta      10                  
QFP-254             42928709            65.07               26/12/2023          Inactivo            69.6249             Prioridad Alta      7                   
UJV-290             89298238            89.78               27/12/2023          Activo              89.78               Prioridad Media     Activo              
UXG-019             66409237            98.9                30/11/2023          Activo              98.9                Prioridad Media     Activo              
SSE-115             89863424            33.85               08/12/2023          Inactivo            37.235              Prioridad Alta      10                  
VXS-438             69324480            47.97               09/11/2023          Inactivo            52.767              Prioridad Alta      10                  
MTF-868             79464412            27.25               27/12/2023          Inactivo            27.25               Prioridad Baja      5                   
OXP-732             23928045            80.06               22/12/2023          Inactivo            88.066              Prioridad Alta      10                  
OPJ-039             90365520            57.88               27/12/2023          Inactivo            57.88               Prioridad Media     Inactivo            
RDT-761             59407188            88.3                24/12/2023          Activo              88.3                Prioridad Media     Activo              
DIQ-718             43488351            60.6                26/11/2023          Activo              60.6                Prioridad Media     Activo              
YUQ-590             77484838            28.58               20/11/2023          Inactivo            30.5806             Prioridad Alta      7                   
OTH-462             79140840            72.5                11/11/2023          Inactivo            76.125              Prioridad Alta      5                   
CSZ-863             95015539            55.93               06/12/2023          Inactivo            61.523              Prioridad Alta      10                  
GXF-122             78757121            13.06               03/12/2023          Inactivo            14.366              Prioridad Alta      10                  
EUZ-452             90365520            20.45               04/11/2023          Activo              20.45               Prioridad Media     Activo              
OPT-996             69639726            80.38               08/12/2023          Inactivo            80.38               Prioridad Baja      5                   
MYC-756             88956889            72.72               18/11/2023          Inactivo            72.72               Prioridad Baja      3                   
GBD-525             87800799            56.75               10/11/2023          Inactivo            59.5875             Prioridad Alta      5                   
DON-719             24995742            23.73               26/12/2023          Inactivo            26.103              Prioridad Alta      10                  
VRR-793             43053402            24.01               04/11/2023          Inactivo            24.01               Prioridad Media     Inactivo            
EBI-299             96258632            48.81               28/11/2023          Inactivo            51.2505             Prioridad Alta      5                   
UWA-476             88956889            33.68               11/12/2023          Inactivo            33.68               Prioridad Baja      3                   
BRD-969             93160528            58.82               13/11/2023          Activo              58.82               Prioridad Media     Activo              
HFC-845             13245501            31.78               23/11/2023          Inactivo            34.0046             Prioridad Alta      7                   
UWA-476             26233063            83.86               11/11/2023          Inactivo            89.7302             Prioridad Alta      7                   
QFP-254             32904023            34.22               07/12/2023          Inactivo            36.6154             Prioridad Alta      7                   
FQG-293             78078115            46.15               15/12/2023          Inactivo            46.15               Prioridad Media     Inactivo            
AQS-362             16151792            91.74               26/12/2023          Inactivo            96.327              Prioridad Alta      5                   
QTK-083             43488351            92.28               16/11/2023          Inactivo            92.28               Prioridad Baja      5                   
YOT-530             89298238            21.28               26/11/2023          Inactivo            21.28               Prioridad Baja      5                   
QTK-083             93160528            23.51               05/11/2023          Inactivo            23.51               Prioridad Baja      3                   
JJN-837             11602775            93.21               10/12/2023          Inactivo            97.8705             Prioridad Alta      5                   
GLC-370             79372768            33.48               07/12/2023          Inactivo            33.48               Prioridad Baja      4                   
SSD-176             43043986            95.69               03/12/2023          Activo              95.69               Prioridad Media     Activo              
GXF-122             62566305            29.21               23/12/2023          Inactivo            29.21               Prioridad Baja      4                   
MTF-868             32821689            91.77               06/11/2023          Inactivo            91.77               Prioridad Baja      4                   
QRC-609             35565959            45.69               20/11/2023          Inactivo            45.69               Prioridad Baja      3                   
PJG-338             49087435            13.95               25/12/2023          Activo              13.95               Prioridad Media     Activo              
OTH-462             57263719            60.92               21/11/2023          Inactivo            60.92               Prioridad Media     Inactivo            
YJD-279             62324793            21.01               05/12/2023          Activo              21.01               Prioridad Media     Activo              
LYZ-614             59407188            64.68               02/11/2023          Inactivo            67.914              Prioridad Alta      5                   
CNQ-172             76388967            22.25               21/12/2023          Inactivo            23.3625             Prioridad Alta      5                   
ZWF-661             13245501            84.08               09/11/2023          Inactivo            84.08               Prioridad Baja      5                   
TMN-884             79140840            55.39               26/11/2023          Inactivo            60.929              Prioridad Alta      10                  
YJD-279             50375303            76.54               14/11/2023          Inactivo            76.54               Prioridad Media     Inactivo            
QIL-029             42928709            22                  23/11/2023          Inactivo            22                  Prioridad Media     Inactivo            
QTK-083             55552996            58.52               03/12/2023          Inactivo            58.52               Prioridad Baja      5                   
YGV-332             86828079            41.94               18/11/2023          Activo              41.94               Prioridad Media     Activo              
ARS-231             78757121            57.47               23/12/2023          Activo              57.47               Prioridad Media     Activo              
FCN-617             37110873            60.66               08/11/2023          Activo              60.66               Prioridad Media     Activo              
TMN-884             50365593            16.35               17/12/2023          Inactivo            16.35               Prioridad Media     Inactivo            
ICX-503             87800799            25.06               17/12/2023          Activo              25.06               Prioridad Media     Activo              
